,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
305,1685415600,1911.01,1898.32,1900.02,7836.27,14920080.06,1902.11,direct,
306,1685419200,1903.18,1897.39,1902.11,3391.3,6443786.11,1898.86,direct,
307,1685422800,1899.78,1893.63,1898.86,2621.51,4973419.95,1898.8,direct,
308,1685426400,1903.76,1898.8,1898.8,1974.26,3754966.43,1903.03,direct,
309,1685430000,1905.49,1899.21,1903.03,2851.48,5423651.22,1899.21,direct,
310,1685433600,1905.4,1898.97,1899.21,5626.58,10709054.09,1903.09,direct,
311,1685437200,1909.84,1903.08,1903.09,5919.96,11287856.33,1907.73,direct,
312,1685440800,1917.47,1907.29,1907.73,7267.91,13896023.99,1908.29,direct,
313,1685444400,1916.78,1906.73,1908.29,7846.75,15019456.18,1916.6,direct,
314,1685448000,1917.0,1905.69,1916.6,8335.55,15934680.48,1910.81,direct,
315,1685451600,1915.41,1904.28,1910.81,9492.57,18142634.9,1906.87,direct,
316,1685455200,1911.14,1897.09,1906.87,18583.72,35371176.24,1897.36,direct,
317,1685458800,1904.42,1894.76,1897.36,8903.39,16921241.2,1901.04,direct,
318,1685462400,1906.37,1892.64,1901.04,11499.82,21863182.2,1904.9,direct,
319,1685466000,1912.63,1898.33,1904.9,12363.98,23556891.94,1903.6,direct,
320,1685469600,1910.71,1901.52,1903.6,6928.34,13212085.73,1908.81,direct,
321,1685473200,1909.31,1906.02,1908.81,5135.17,9797335.36,1908.28,direct,
322,1685476800,1908.32,1903.1,1908.28,4743.64,9040914.4,1904.44,direct,
323,1685480400,1914.91,1903.51,1904.44,5245.72,10008148.0,1906.5,direct,
324,1685484000,1906.54,1900.54,1906.5,4690.26,8926234.85,1904.76,direct,
325,1685487600,1905.21,1898.25,1904.76,4902.92,9320906.12,1901.24,direct,
326,1685491200,1906.02,1898.98,1901.24,2871.41,5462170.08,1905.64,direct,
